comment_id,comment,user_id,user_name,comment_time,comment_likes,total_reply_count,is_top_level_comment,video_title,channel_title,video_published_at,video_views,video_likes,relacion_evento,evento,tipo_evento,condiciones_cuenta,duration_timedelta,duration_seconds,translated_text,polarity,Sentimiento
UgyvKNZG4-RYaHi0_pd4AaABAg.A2ckXMHbhjvA2dBHhFNpeT,cual pueblo? el que lo votó hace 5 meses?,UCocLht1wTk579BFwXOgEJMQ,@adriankeyboard,2024-04-25 01:58:08+00:00,0,0,False,"Juan Grabois: ""La Marcha Federal Universitaria debe ser una bisagra""",El Destape,2024-04-24 20:30:03+00:00,21928,454,Si,Marcha federal universitaria,Desfavorable,En contra,0 days 00:18:55,1135.0,Which people? The one who voted for him 5 months ago?,0.0,Neutral
UgyvKNZG4-RYaHi0_pd4AaABAg.A2ckXMHbhjvA2dBcuzEgkr,"14,5 millones de votos, seguí llorando DAUN KIRCHNERISTA DERROTADO",UCawfOqYVrRaKpcL7MXxQRIw,@FSanti81,2024-04-25 02:01:10+00:00,0,0,False,"Juan Grabois: ""La Marcha Federal Universitaria debe ser una bisagra""",El Destape,2024-04-24 20:30:03+00:00,21928,454,Si,Marcha federal universitaria,Desfavorable,En contra,0 days 00:18:55,1135.0,"14.5 million votes, I kept crying DAUN KIRCHNERISTA DEFEATED",-0.2,Negativo
UgyvKNZG4-RYaHi0_pd4AaABAg.A2ckXMHbhjvA2dCz-Qraag,que deliraba el richard jaja,UCfC0P0NMoa58ZFPdBtJnPPw,@whitelizard8356,2024-04-25 02:12:55+00:00,0,0,False,"Juan Grabois: ""La Marcha Federal Universitaria debe ser una bisagra""",El Destape,2024-04-24 20:30:03+00:00,21928,454,Si,Marcha federal universitaria,Desfavorable,En contra,0 days 00:18:55,1135.0,Richard was delirious haha,0.2,Positivo
UgwO9dvwkDx3NDWsNX14AaABAg,Agggggg😂,UCmv7IkwtPWtQRjzWcniLPdA,@EduarGastanadui,2024-04-24 21:52:36+00:00,0,0,True,"Juan Grabois: ""La Marcha Federal Universitaria debe ser una bisagra""",El Destape,2024-04-24 20:30:03+00:00,21928,454,Si,Marcha federal universitaria,Desfavorable,En contra,0 days 00:18:55,1135.0,Agggggg😂,0.0,Neutral
UgxvWGWq8hQGXPB4mmp4AaABAg,Caradura!!!! No tienen verguenza. Destruyeron el país durante años.Atrasan 100 años!!,UCHAmZt5vnIjwzM74JKeoVTQ,@monicaranzini6573,2024-04-24 21:50:17+00:00,0,0,True,"Juan Grabois: ""La Marcha Federal Universitaria debe ser una bisagra""",El Destape,2024-04-24 20:30:03+00:00,21928,454,Si,Marcha federal universitaria,Desfavorable,En contra,0 days 00:18:55,1135.0,They are shameless! They have no shame. They destroyed the country for years. They are 100 years behind!,-0.5,Negativo
UgyBnB4Wlrj9eLY_E6V4AaABAg,Vruto😅😅😅,UCgmauWgq9MbZ2A0lt-SJV8Q,@pampimunoz2359,2024-04-24 21:46:44+00:00,2,0,True,"Juan Grabois: ""La Marcha Federal Universitaria debe ser una bisagra""",El Destape,2024-04-24 20:30:03+00:00,21928,454,Si,Marcha federal universitaria,Desfavorable,En contra,0 days 00:18:55,1135.0,Vruto😅😅😅,0.0,Neutral
Ugxhcd-plywXlavwSCt4AaABAg,"Cuánta gente con la cabeza lavada, argentina no sale más de esta situación por corruptos y gente como ustedes q los aplaude... Q excusas les dicen a sus hijos cuando defienden a un ladrón, pobres pibes!!!",UC6Se8vFm5hw2fmYLZDtFHUA,@lucianocrispien9543,2024-04-24 21:43:47+00:00,0,0,True,"Juan Grabois: ""La Marcha Federal Universitaria debe ser una bisagra""",El Destape,2024-04-24 20:30:03+00:00,21928,454,Si,Marcha federal universitaria,Desfavorable,En contra,0 days 00:18:55,1135.0,"How many brainwashed people, Argentina is not getting out of this situation because of the corrupt and people like you who applaud them... What excuses do you give your children when they defend a thief, poor kids!!!",-0.2604166666666667,Negativo
Ugz8J1xXEZ4NYWQZCzl4AaABAg,Lástima que no hay quien se atrevas ponerle una bomba ustedes piden más xque saben lo que se recaudan pagan un poco y lo sé lo echan al bolcillo,UC22cpwd1qBCjGIpJ0zc-_rw,@cristinaacosta3381,2024-04-24 21:39:26+00:00,0,0,True,"Juan Grabois: ""La Marcha Federal Universitaria debe ser una bisagra""",El Destape,2024-04-24 20:30:03+00:00,21928,454,Si,Marcha federal universitaria,Desfavorable,En contra,0 days 00:18:55,1135.0,It's a pity that no one dares to put a bomb on it. You ask for more because you know what you collect. You pay a little and I know you put it in your pocket.,0.07083333333333335,Positivo
UgwwqbgiZAeixKrofal4AaABAg,"Esta gente tienen una cara de vagos hay q llevarlos a trabajar al campo de amanecer hasta atardecer,pero familia gauchesca los zurdos quieren expropiar lo q la gente se rompió el orto laburando oops.😮",UCgAWyQxoXP6bNOc3hGRgg-w,@LuisGuzman-zc1nf,2024-04-24 21:33:47+00:00,0,0,True,"Juan Grabois: ""La Marcha Federal Universitaria debe ser una bisagra""",El Destape,2024-04-24 20:30:03+00:00,21928,454,Si,Marcha federal universitaria,Desfavorable,En contra,0 days 00:18:55,1135.0,"These people have lazy faces, they have to be taken to work in the fields from dawn to dusk, but the gaucho family, the leftists want to expropriate what people broke their asses working for, oops.😮",-0.25,Negativo
Ugx3NKCXd404j7kohbt4AaABAg,"Los estudiantes no necesitan a los políticos. Más se meten,  más desprestigian la marcha de ayer. Giles y oportunistas. No soy libertario ni zurdo.",UC1Trq8X2d-lUyX9KPbxFzRg,@guillermolamilla8636,2024-04-24 21:28:52+00:00,0,0,True,"Juan Grabois: ""La Marcha Federal Universitaria debe ser una bisagra""",El Destape,2024-04-24 20:30:03+00:00,21928,454,Si,Marcha federal universitaria,Desfavorable,En contra,0 days 00:18:55,1135.0,"Students don't need politicians. The more they get involved, the more they discredit yesterday's march. Fools and opportunists. I am neither libertarian nor left-wing.",0.5,Positivo
Ugyx6jgfM49P79OAUW94AaABAg,LOS ESTUDIANTES ARGENTINOS DEBERIAN PAGAR UNA COOPERADORA COMO EN LA PRIMARIA Y A LOS ESTUDIANTES EXTRANJEROS AL MENOS 200 DOLARES POR MES..........ESTAN USANDO LA EDUCACION QUE NUESTROS ANSESTROS CREARON Y APUNTALARON PARA QUE LOS ARGENTINOS DISFRUETEN GRATIS ..........NO ES JUSTO QUE UN EXTRANJERO ESTUDIE GRATIS,UCG-5ohviny2c4IO27-WkM9Q,@slb7741,2024-04-24 21:28:14+00:00,2,0,True,"Juan Grabois: ""La Marcha Federal Universitaria debe ser una bisagra""",El Destape,2024-04-24 20:30:03+00:00,21928,454,Si,Marcha federal universitaria,Desfavorable,En contra,0 days 00:18:55,1135.0,ARGENTINE STUDENTS SHOULD PAY A COOPERATOR AS IN PRIMARY SCHOOL AND FOREIGN STUDENTS AT LEAST 200 DOLLARS PER MONTH..........THEY ARE USING THE EDUCATION THAT OUR ANCESTORS CREATED AND SUPPORTED SO THAT ARGENTINES CAN ENJOY FOR FREE..........IT IS NOT FAIR THAT A FOREIGNER STUDIES FOR FREE,0.07083333333333335,Positivo
UgxsPDc2UFCPOREgqbR4AaABAg,Que triste un populista con una complu de la Manzanita . No apoya la Industria Nacional ???? aajajajaja Todos iguales,UC_kxkVUDKx9CsixFJzrnhwA,@mdq360,2024-04-24 21:27:04+00:00,0,0,True,"Juan Grabois: ""La Marcha Federal Universitaria debe ser una bisagra""",El Destape,2024-04-24 20:30:03+00:00,21928,454,Si,Marcha federal universitaria,Desfavorable,En contra,0 days 00:18:55,1135.0,"How sad, a populist with a company from Manzanita. Doesn't he support the National Industry???? hahahahaha All the same",-0.09999999999999999,Negativo
UgxyGWEwWJn6R8pHKIJ4AaABAg,"Te quiero, Juan",UCPF75cYHcLBE7-wlBl9kOxQ,@Ciro08,2024-04-24 21:26:22+00:00,7,2,True,"Juan Grabois: ""La Marcha Federal Universitaria debe ser una bisagra""",El Destape,2024-04-24 20:30:03+00:00,21928,454,Si,Marcha federal universitaria,Desfavorable,En contra,0 days 00:18:55,1135.0,"I love you, Juan",0.5,Positivo
UgxyGWEwWJn6R8pHKIJ4AaABAg.A2chBFHYTjiA2cmV1-DhIe,"Un grande, defendiendo el choreo publico en las facultades pagadas con el bolsillo de todos los argentinos, de docentes que van cuando quieren y de administrativos que cobran y capaz faltan la mitad del mes<br><br>Eso defendes? O defendes los autos 0km de este mamarracho?",UCRx0pnszHUQkvi5CLkxqflQ,@LightSpark.,2024-04-24 22:12:46+00:00,3,0,False,"Juan Grabois: ""La Marcha Federal Universitaria debe ser una bisagra""",El Destape,2024-04-24 20:30:03+00:00,21928,454,Si,Marcha federal universitaria,Desfavorable,En contra,0 days 00:18:55,1135.0,"A great man, defending public theft in faculties paid for by the pockets of all Argentines, of teachers who go when they want and of administrators who get paid and are able to miss half the month. <br><br>Is that what you defend? Or are you defending this idiot's brand new cars?",0.07828282828282827,Positivo
UgxyGWEwWJn6R8pHKIJ4AaABAg.A2chBFHYTjiA2dOCxt8Oxi,​@@lucarekocomo hablan tonteras !!defuenden lo indefendible,UCc3_bUPBi7-dvkF0bw08lFg,@esternoemi3144,2024-04-25 03:51:05+00:00,0,0,False,"Juan Grabois: ""La Marcha Federal Universitaria debe ser una bisagra""",El Destape,2024-04-24 20:30:03+00:00,21928,454,Si,Marcha federal universitaria,Desfavorable,En contra,0 days 00:18:55,1135.0,@@lucarekocomo they talk nonsense!! They defy the indefensible,0.0,Neutral
UgzmLVhztaOyRmiWGcV4AaABAg,Piquete cacerola<br>La lucha es una sola!!<br><br>Juicio politico ya!!!<br><br>Antes que la sangre llegue al rio!!<br><br>No queremos sangre en las calles como en 2001!!!<br><br>&quot;La cuna no determina la tumba&quot;<br>   Muy bueno,UCkjDyXiW5tdHPlBe09kwKfg,@Juan_Perez18,2024-04-24 21:24:17+00:00,3,2,True,"Juan Grabois: ""La Marcha Federal Universitaria debe ser una bisagra""",El Destape,2024-04-24 20:30:03+00:00,21928,454,Si,Marcha federal universitaria,Desfavorable,En contra,0 days 00:18:55,1135.0,"Piquete cacerola<br>The fight is one!!<br><br>Impeachment now!!!<br><br>Before the blood reaches the river!!<br><br>We don't want blood in the streets like in 2001!!!<br><br>""The cradle does not determine the grave""<br> Very good",0.9099999999999999,Positivo
UgzmLVhztaOyRmiWGcV4AaABAg.A2cgwuaxpmCA2cmX3t2znW,Estas bien?,UCRx0pnszHUQkvi5CLkxqflQ,@LightSpark.,2024-04-24 22:13:02+00:00,4,0,False,"Juan Grabois: ""La Marcha Federal Universitaria debe ser una bisagra""",El Destape,2024-04-24 20:30:03+00:00,21928,454,Si,Marcha federal universitaria,Desfavorable,En contra,0 days 00:18:55,1135.0,Are you OK?,0.5,Positivo
UgzmLVhztaOyRmiWGcV4AaABAg.A2cgwuaxpmCA2dJLCDrWtr,"Juan, si la lucha es hacer AUDITORIAS esta muy bien",UCxZJxStOUs6SlFUl6mehIpw,@nedar6013,2024-04-25 03:08:31+00:00,0,0,False,"Juan Grabois: ""La Marcha Federal Universitaria debe ser una bisagra""",El Destape,2024-04-24 20:30:03+00:00,21928,454,Si,Marcha federal universitaria,Desfavorable,En contra,0 days 00:18:55,1135.0,"Juan, if the struggle is to do AUDITS, that's fine.",0.4166666666666667,Positivo
UgzUVLy9YJYneTXC0H94AaABAg,Muy buena entrevista a J.GRABOIS!!,UCoGN3BEMoP83pAUIFKLRahw,@adelmaolivera1398,2024-04-24 21:20:08+00:00,9,1,True,"Juan Grabois: ""La Marcha Federal Universitaria debe ser una bisagra""",El Destape,2024-04-24 20:30:03+00:00,21928,454,Si,Marcha federal universitaria,Desfavorable,En contra,0 days 00:18:55,1135.0,Very good interview with J.GRABOIS!!,1.0,Positivo
UgzUVLy9YJYneTXC0H94AaABAg.A2cgTcoYNZQA2dIIqMH4nI,Le entendiste el mensaje? Que dijo?,UCxZJxStOUs6SlFUl6mehIpw,@nedar6013,2024-04-25 02:59:27+00:00,0,0,False,"Juan Grabois: ""La Marcha Federal Universitaria debe ser una bisagra""",El Destape,2024-04-24 20:30:03+00:00,21928,454,Si,Marcha federal universitaria,Desfavorable,En contra,0 days 00:18:55,1135.0,Did you understand the message? What did he say?,0.0,Neutral
Ugy8BwGQv9dDecbvWg14AaABAg,EXPLIQUEN LA QUE SE LLEVARON CARADURAS,UCpjCkPbbMKGO2QmiZize9UA,@pablodasilva9532,2024-04-24 21:17:29+00:00,3,0,True,"Juan Grabois: ""La Marcha Federal Universitaria debe ser una bisagra""",El Destape,2024-04-24 20:30:03+00:00,21928,454,Si,Marcha federal universitaria,Desfavorable,En contra,0 days 00:18:55,1135.0,"EXPLAIN WHAT THEY TOOK, YOU CHEEKY ONES",0.0,Neutral
